Grade,CourseNumber,ID,Bonus,FinalGrade
49,001,4520894,10,59
91,001,3972323,10,100
96,001,4310631,10,100
66,001,992035,10,76
70,001,3725211,10,80
91,001,1456562,10,100
72,001,4218483,10,82
68,001,7738523,10,78
88,001,30769423,10,98
47,001,5388018,10,57
93,001,8351543,10,100
86,001,772286,10,96
80,001,1564828,10,90
67,001,2429533,10,77
62,001,7554734,10,72
90,001,4636556,10,100
88,001,1411814,10,98
60,001,308416247,10,70
72,001,7644270,10,82
87,001,5225185,10,97
100,001,2522195,10,100
64,002,4520894,0,64
96,002,3972323,0,96
84,002,3755002,0,84
88,002,851588244,0,88
92,002,4310631,0,92
64,002,992035,0,64
72,002,5214270,0,72
64,002,4218483,0,64
72,002,7738523,0,72
92,002,5708981,0,92
76,002,30769423,0,76
72,002,5648105,0,72
80,002,3854706,0,80
68,002,5388018,0,68
92,002,772286,0,92
88,002,1564828,0,88
56,002,2522528,0,56
96,002,1411814,0,96
88,002,308416247,0,88
72,002,7644270,0,72
84,002,6485222,0,84
100,002,2522195,0,100
84,002,8239375,0,84
59,004,4520894,0,59
91,004,3972323,0,91
93,004,4310631,0,93
82,004,992035,0,82
80,004,3725211,0,80
88,004,1456562,0,88
88,004,4218483,0,88
67,004,7738523,0,67
77,004,30769423,0,77
74,004,9749999,0,74
92,004,8351543,0,92
94,004,772286,0,94
93,004,1564828,0,93
66,004,2429533,0,66
74,004,7554734,0,74
79,004,4636556,0,79
92,004,1411814,0,92
75,004,308416247,0,75
85,004,7644270,0,85
88,004,5225185,0,88
89,004,2522195,0,89
60,005,4520894,0,60
92,005,3972323,0,92
80,005,3755002,0,80
92,005,851588244,0,92
84,005,4310631,0,84
60,005,992035,0,60
84,005,3725211,0,84
76,005,5214270,0,76
68,005,7738523,0,68
88,005,5708981,0,88
92,005,30769423,0,92
64,005,5648105,0,64
84,005,3854706,0,84
80,005,8351543,0,80
96,005,772286,0,96
88,005,1564828,0,88
60,005,2429533,0,60
76,005,2522528,0,76
100,005,1411814,0,100
80,005,308416247,0,80
88,005,7644270,0,88
76,005,6485222,0,76
100,005,2522195,0,100
100,005,8239375,0,100
92,008,3972323,0,92
100,008,4310631,0,100
44,008,992035,0,44
76,008,3725211,0,76
68,008,4218483,0,68
76,008,7738523,0,76
76,008,30769423,0,76
44,008,9749999,0,44
76,008,5388018,0,76
84,008,8351543,0,84
80,008,772286,0,80
92,008,1564828,0,92
56,008,2429533,0,56
64,008,7554734,0,64
80,008,4636556,0,80
92,008,1411814,0,92
76,008,308416247,0,76
80,008,7644270,0,80
92,008,5225185,0,92
92,008,2522195,0,92
88,008,8239375,0,88
48,009,4520894,4,52
